,Weight,Zone,Type of Delivery,Price,Year
220,37,2,FedEx Express Saver,59.68,2021
221,37,2,FedEx 2Day® A.M.,71.58,2021
222,38,2,FedEx First Overnight,127.51,2021
223,38,2,FedEx Priority Overnight,96.51,2021
224,38,2,FedEx Std Overnight,88.49,2021
225,38,2,FedEx 2DAy,67.28,2021
226,38,2,FedEx Express Saver,60.14,2021
227,38,2,FedEx 2Day® A.M.,74.30,2021
228,39,2,FedEx First Overnight,127.89,2021
229,39,2,FedEx Priority Overnight,96.89,2021
230,39,2,FedEx Std Overnight,90.74,2021
231,39,2,FedEx 2DAy,69.42,2021
232,39,2,FedEx Express Saver,60.34,2021
233,39,2,FedEx 2Day® A.M.,76.33,2021
234,40,2,FedEx First Overnight,128.13,2021
235,40,2,FedEx Priority Overnight,97.13,2021
236,40,2,FedEx Std Overnight,94.85,2021
237,40,2,FedEx 2DAy,69.64,2021
238,40,2,FedEx Express Saver,60.69,2021
239,40,2,FedEx 2Day® A.M.,76.89,2021
240,41,2,FedEx First Overnight,132.42,2021
241,41,2,FedEx Priority Overnight,101.42,2021
242,41,2,FedEx Std Overnight,96.48,2021
243,41,2,FedEx 2DAy,73.02,2021
244,41,2,FedEx Express Saver,67.69,2021
245,41,2,FedEx 2Day® A.M.,80.27,2021
246,42,2,FedEx First Overnight,133.90,2021
247,42,2,FedEx Priority Overnight,102.90,2021
248,42,2,FedEx Std Overnight,98.27,2021
249,42,2,FedEx 2DAy,74.21,2021
250,42,2,FedEx Express Saver,68.93,2021
251,42,2,FedEx 2Day® A.M.,83.48,2021
252,43,2,FedEx First Overnight,136.66,2021
253,43,2,FedEx Priority Overnight,105.66,2021
254,43,2,FedEx Std Overnight,99.91,2021
255,43,2,FedEx 2DAy,75.76,2021
256,43,2,FedEx Express Saver,70.27,2021
257,43,2,FedEx 2Day® A.M.,83.82,2021
258,44,2,FedEx First Overnight,139.04,2021
259,44,2,FedEx Priority Overnight,108.04,2021
260,44,2,FedEx Std Overnight,101.63,2021
261,44,2,FedEx 2DAy,77.04,2021
262,44,2,FedEx Express Saver,70.79,2021
263,44,2,FedEx 2Day® A.M.,84.72,2021
264,45,2,FedEx First Overnight,144.18,2021
265,45,2,FedEx Priority Overnight,113.18,2021
266,45,2,FedEx Std Overnight,103.28,2021
267,45,2,FedEx 2DAy,77.38,2021
268,45,2,FedEx Express Saver,70.99,2021
269,45,2,FedEx 2Day® A.M.,84.95,2021
270,46,2,FedEx First Overnight,147.27,2021
271,46,2,FedEx Priority Overnight,116.27,2021
272,46,2,FedEx Std Overnight,104.84,2021
273,46,2,FedEx 2DAy,79.78,2021
274,46,2,FedEx Express Saver,71.19,2021
275,46,2,FedEx 2Day® A.M.,85.17,2021
276,47,2,FedEx First Overnight,148.96,2021
277,47,2,FedEx Priority Overnight,117.96,2021
278,47,2,FedEx Std Overnight,107.08,2021
279,47,2,FedEx 2DAy,80.02,2021
280,47,2,FedEx Express Saver,71.39,2021
281,47,2,FedEx 2Day® A.M.,88.91,2021
282,48,2,FedEx First Overnight,149.16,2021
283,48,2,FedEx Priority Overnight,118.16,2021
284,48,2,FedEx Std Overnight,108.66,2021
285,48,2,FedEx 2DAy,81.69,2021
286,48,2,FedEx Express Saver,71.59,2021
287,48,2,FedEx 2Day® A.M.,90.68,2021
288,49,2,FedEx First Overnight,149.36,2021
289,49,2,FedEx Priority Overnight,118.36,2021
290,49,2,FedEx Std Overnight,110.31,2021
291,49,2,FedEx 2DAy,81.91,2021
292,49,2,FedEx Express Saver,71.79,2021
293,49,2,FedEx 2Day® A.M.,90.88,2021
294,50,2,FedEx First Overnight,150.04,2021
295,50,2,FedEx Priority Overnight,119.04,2021
296,50,2,FedEx Std Overnight,112.48,2021
297,50,2,FedEx 2DAy,82.13,2021
298,50,2,FedEx Express Saver,72.12,2021
299,50,2,FedEx 2Day® A.M.,91.83,2021
300,51,2,FedEx First Overnight,163.45,2021
301,51,2,FedEx Priority Overnight,132.45,2021
302,51,2,FedEx Std Overnight,114.07,2021
303,51,2,FedEx 2DAy,82.89,2021
304,51,2,FedEx Express Saver,78.69,2021
305,51,2,FedEx 2Day® A.M.,97.06,2021
306,52,2,FedEx First Overnight,165.47,2021
307,52,2,FedEx Priority Overnight,134.47,2021
308,52,2,FedEx Std Overnight,116.36,2021
309,52,2,FedEx 2DAy,88.75,2021
310,52,2,FedEx Express Saver,79.35,2021
311,52,2,FedEx 2Day® A.M.,103.71,2021
312,53,2,FedEx First Overnight,166.93,2021
313,53,2,FedEx Priority Overnight,135.93,2021
314,53,2,FedEx Std Overnight,118.48,2021
315,53,2,FedEx 2DAy,90.52,2021
316,53,2,FedEx Express Saver,82.40,2021
317,53,2,FedEx 2Day® A.M.,104.38,2021
318,54,2,FedEx First Overnight,167.35,2021
319,54,2,FedEx Priority Overnight,136.35,2021
320,54,2,FedEx Std Overnight,120.03,2021
321,54,2,FedEx 2DAy,91.8,2021
322,54,2,FedEx Express Saver,82.86,2021
323,54,2,FedEx 2Day® A.M.,104.83,2021
324,55,2,FedEx First Overnight,167.85,2021
325,55,2,FedEx Priority Overnight,136.85,2021
326,55,2,FedEx Std Overnight,122.36,2021
327,55,2,FedEx 2DAy,93.49,2021
328,55,2,FedEx Express Saver,83.26,2021
329,55,2,FedEx 2Day® A.M.,105.27,2021
330,56,2,FedEx First Overnight,177.77,2021
331,56,2,FedEx Priority Overnight,146.77,2021
332,56,2,FedEx Std Overnight,124.60,2021
333,56,2,FedEx 2DAy,94.24,2021
334,56,2,FedEx Express Saver,83.66,2021
335,56,2,FedEx 2Day® A.M.,105.77,2021
336,57,2,FedEx First Overnight,179.03,2021
337,57,2,FedEx Priority Overnight,148.03,2021
338,57,2,FedEx Std Overnight,127.29,2021
339,57,2,FedEx 2DAy,94.68,2021
340,57,2,FedEx Express Saver,84.06,2021
341,57,2,FedEx 2Day® A.M.,108.48,2021
342,58,2,FedEx First Overnight,179.46,2021
343,58,2,FedEx Priority Overnight,148.46,2021
344,58,2,FedEx Std Overnight,128.21,2021
345,58,2,FedEx 2DAy,95.12,2021
346,58,2,FedEx Express Saver,84.46,2021
347,58,2,FedEx 2Day® A.M.,108.95,2021
348,59,2,FedEx First Overnight,179.87,2021
349,59,2,FedEx Priority Overnight,148.87,2021
350,59,2,FedEx Std Overnight,128.61,2021
351,59,2,FedEx 2DAy,95.56,2021
352,59,2,FedEx Express Saver,84.86,2021
353,59,2,FedEx 2Day® A.M.,111.47,2021
354,60,2,FedEx First Overnight,180.30,2021
355,60,2,FedEx Priority Overnight,149.30,2021
356,60,2,FedEx Std Overnight,129.35,2021
357,60,2,FedEx 2DAy,96.0,2021
358,60,2,FedEx Express Saver,86.39,2021
359,60,2,FedEx 2Day® A.M.,112.19,2021
360,61,2,FedEx First Overnight,188.08,2021
361,61,2,FedEx Priority Overnight,157.08,2021
362,61,2,FedEx Std Overnight,129.75,2021
363,61,2,FedEx 2DAy,96.44,2021
364,61,2,FedEx Express Saver,88.61,2021
365,61,2,FedEx 2Day® A.M.,112.59,2021
366,62,2,FedEx First Overnight,189.89,2021
367,62,2,FedEx Priority Overnight,158.89,2021
368,62,2,FedEx Std Overnight,130.17,2021
369,62,2,FedEx 2DAy,96.88,2021
370,62,2,FedEx Express Saver,90.06,2021
371,62,2,FedEx 2Day® A.M.,112.99,2021
372,63,2,FedEx First Overnight,190.34,2021
373,63,2,FedEx Priority Overnight,159.34,2021
374,63,2,FedEx Std Overnight,138.48,2021
375,63,2,FedEx 2DAy,97.32,2021
376,63,2,FedEx Express Saver,92.87,2021
